ADDRESS,FIRST APPROACH,SECOND APPROACH,LATITUDE,LONGITUDE,GO-LIVE DATE,LOCATION
5120 N Pulaski Rd,SB,NB,41.9743,-87.7282,08/26/2013,"(41.9743, -87.7282)"
3536 S Wallace St,NB,SB,41.8297,-87.6413,05/08/2023,"(41.8297, -87.6413)"
6443 W Belmont Ave,EB,,41.9382,-87.7877,03/10/2014,"(41.9382, -87.7877)"
1334 W Garfield Blvd,WB,,41.79419,-87.6587,03/24/2014,"(41.79419, -87.6587)"
1315 W Garfield Blvd,EB,,41.7936,-87.6579,03/24/2014,"(41.7936, -87.6579)"
324 S Kedzie Ave,NB,SB,41.8766,-87.7061,03/17/2014,"(41.8766, -87.7061)"
324 E Illinois St,EB,,41.8909,-87.6193,04/14/2014,"(41.8909, -87.6193)"
2115 S Western Ave,NB,,41.8534,-87.6855,04/25/2014,"(41.8534, -87.6855)"
2440 W 51st St,WB,,41.8012,-87.6859,02/24/2014,"(41.8012, -87.6859)"
3646 W Madison St,WB,EB,41.88089,-87.7179,09/10/2013,"(41.88089, -87.7179)"
2223 N Kedzie Blvd,NB,SB,41.92199,-87.707,05/02/2023,"(41.92199, -87.707)"
4620 W Belmont Ave,WB,EB,41.939,-87.7431,03/10/2014,"(41.939, -87.7431)"
819 E 71st St,EB,WB,41.7658,-87.6036,08/20/2018,"(41.7658, -87.6036)"
5440 W Grand Ave,WB,EB,41.9182,-87.7623,12/12/2013,"(41.9182, -87.7623)"
2513 W 55th St,EB,WB,41.7937,-87.6872,01/18/2014,"(41.7937, -87.6872)"
3810 W Belmont Ave,WB,,41.9393,-87.7228,04/08/2014,"(41.9393, -87.7228)"
3047 W Jackson Blvd,EB,WB,41.8772,-87.7029,03/17/2014,"(41.8772, -87.7029)"
3116 N Narragansett Ave,SB,,41.93699,-87.786,03/10/2014,"(41.93699, -87.786)"
5532 S Kedzie Ave,SB,NB,41.79249,-87.7037,01/07/2015,"(41.79249, -87.7037)"
